Theta[deg],Phi[deg],re(rEPhi)[mV],im(rEPhi)[mV],re(rETheta)[mV],im(rETheta)[mV]
34,67,-1780.07,4174.54,-4887.1,9846.92
35,67,-1752.79,4114.97,-4832.91,9741.4
36,67,-1725.05,4054.28,-4778.48,9635.12
37,67,-1696.88,3992.53,-4723.87,9528.22
38,67,-1668.31,3929.75,-4669.15,9420.86
39,67,-1639.35,3865.98,-4614.38,9313.16
40,67,-1610.03,3801.27,-4559.62,9205.28
41,67,-1580.38,3735.64,-4504.94,9097.35
42,67,-1550.42,3669.14,-4450.4,8989.5
43,67,-1520.17,3601.8,-4396.06,8881.89
44,67,-1489.66,3533.67,-4341.98,8774.62
45,67,-1458.9,3464.78,-4288.21,8667.85
46,67,-1427.93,3395.16,-4234.83,8561.69
47,67,-1396.75,3324.85,-4181.88,8456.28
48,67,-1365.39,3253.89,-4129.42,8351.73
49,67,-1333.87,3182.31,-4077.5,8248.16
50,67,-1302.2,3110.13,-4026.18,8145.69
51,67,-1270.41,3037.39,-3975.51,8044.44
52,67,-1238.5,2964.13,-3925.55,7944.51
53,67,-1206.5,2890.36,-3876.34,7846
54,67,-1174.41,2816.12,-3827.93,7749.03
55,67,-1142.26,2741.44,-3780.38,7653.68
56,67,-1110.04,2666.34,-3733.72,7560.05
57,67,-1077.78,2590.85,-3688.01,7468.24
58,67,-1045.49,2514.99,-3643.29,7378.33
59,67,-1013.16,2438.79,-3599.61,7290.4
60,67,-980.814,2362.27,-3557,7204.52
61,67,-948.453,2285.45,-3515.52,7120.78
62,67,-916.084,2208.35,-3475.21,7039.25
63,67,-883.71,2130.99,-3436.09,6959.99
64,67,-851.335,2053.39,-3398.23,6883.06
65,67,-818.961,1975.58,-3361.65,6808.53
66,67,-786.59,1897.56,-3326.4,6736.44
67,67,-754.222,1819.36,-3292.5,6666.85
68,67,-721.857,1740.99,-3260.01,6599.82
69,67,-689.492,1662.47,-3228.94,6535.37
70,67,-657.127,1583.81,-3199.35,6473.56
71,67,-624.757,1505.02,-3171.26,6414.42
72,67,-592.378,1426.13,-3144.71,6357.98
73,67,-559.987,1347.14,-3119.73,6304.28
74,67,-527.577,1268.06,-3096.34,6253.35
75,67,-495.143,1188.91,-3074.59,6205.2
76,67,-462.677,1109.71,-3054.5,6159.88
77,67,-430.173,1030.45,-3036.1,6117.38
78,67,-397.622,951.15,-3019.41,6077.74
79,67,-365.017,871.824,-3004.46,6040.96
80,67,-332.348,792.479,-2991.27,6007.07
81,67,-299.606,713.126,-2979.88,5976.07
82,67,-266.782,633.773,-2970.3,5947.97
83,67,-233.866,554.429,-2962.54,5922.78
84,67,-200.847,475.103,-2956.64,5900.51
85,67,-167.716,395.804,-2952.61,5881.15
